seqid	geneID	source	type_gene	start_gene	end_gene	score_gene	strand_gene	phase_gene	attributes_gene	nchildrenhit	Program_code_geneID	childnames_hit	childnames_protein_hit	Prog_single_hits	childnames_NLRtracker	children_Status_Ntr	children_Domain	children_DomainSimpl	children_Subclass_p	Status_Ntr_cons	Domain_cons	DomainSimpl_cons	Subclass_p_cons	exclusive_MLKL	childnames_hmmer	children_profiles	profile_combi_cons	nonLRR_profile	childnames_NLRannotator	annotNLR	nRegions	NLRtrackerhit	hmmerhit	NLRannotatorhit	inNLRannotatoronlyregion	priority_geneID	priority_note
CP002684.1	gene-AT1G07650	Genbank	gene	2359111	2366736	.	-	.	ID=gene-AT1G07650;Dbxref=Araport:AT1G07650,TAIR:AT1G07650;Name=AT1G07650;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F24B9.29,F24B9_29;locus_tag=AT1G07650	4	2	rna-gnl|JCVI|mRNA.AT1G07650.2;rna-gnl|JCVI|mRNA.AT1G07650.3;rna-gnl|JCVI|mRNA.AT1G07650.1;rna-gnl|JCVI|mRNA.AT1G07650.4	AEE28156.1;ANM58721.1;AEE28155.1;ANM58720.1	2;2;2;2										NA	rna-gnl|JCVI|mRNA.AT1G07650.2;rna-gnl|JCVI|mRNA.AT1G07650.3;rna-gnl|JCVI|mRNA.AT1G07650.1;rna-gnl|JCVI|mRNA.AT1G07650.4	L;L;L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G08590	Genbank	gene	2718538	2722280	.	+	.	ID=gene-AT1G08590;Dbxref=Araport:AT1G08590,TAIR:AT1G08590;Name=AT1G08590;Note=Encodes one of the two putative eLRR kinase closely related to PXY (At1g08590/PXL1 and At4g28650/PXL2). Insertion mutants in either pxl1 or pxl2 do not exhibit an obvious phenotype in the stem%3B double-mutant combinations of a Col allele%2C of pxy (pxy-3) with pxl1 and pxl2%2C generate a more severe vascular phenotype than pxy-3 alone%2C suggesting that these genes act synergistically with PXY in regulating vascular-tissue development in the stem.;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F22O13.7,F22O13_7,PXL1,PXY-like1;locus_tag=AT1G08590	1	2	rna-gnl|JCVI|mRNA.AT1G08590.1	AEE28312.1	2										NA	rna-gnl|JCVI|mRNA.AT1G08590.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G09665	Genbank	gene	3133008	3133674	.	+	.	ID=gene-AT1G09665;Dbxref=Araport:AT1G09665,TAIR:AT1G09665;Name=AT1G09665;gbkey=Gene;gene_biotype=protein_coding;locus_tag=AT1G09665	1	3	rna-gnl|JCVI|mRNA.AT1G09665.1	AEE28478.1	3	rna-gnl|JCVI|mRNA.AT1G09665.1	TX	(TIR)	T	TX	TX	(TIR)	T	TX	FALSE	rna-gnl|JCVI|mRNA.AT1G09665.1	T	T	1			0	TRUE	TRUE	FALSE	FALSE	high	ProgCode_3
CP002684.1	gene-AT1G09760	Genbank	gene	3159125	3161692	.	-	.	ID=gene-AT1G09760;Dbxref=Araport:AT1G09760,TAIR:AT1G09760;Name=U2A';gbkey=Gene;gene=U2A';gene_biotype=protein_coding;gene_synonym=F21M12.14,F21M12_14,U2 small nuclear ribonucleoprotein A;locus_tag=AT1G09760	1	2	rna-gnl|JCVI|mRNA.AT1G09760.1	AEE28489.1	2										NA	rna-gnl|JCVI|mRNA.AT1G09760.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G09970	Genbank	gene	3252098	3255782	.	+	.	ID=gene-AT1G09970;Dbxref=Araport:AT1G09970,TAIR:AT1G09970;Name=LRR XI-23;Note=RLK7 belongs to a leucine-rich repeat class of receptor-likekinase (LRR-RLKs). It is involved in the control of germination speed and the tolerance to oxidant stress.;gbkey=Gene;gene=LRR XI-23;gene_biotype=protein_coding;gene_synonym=F21M12.36,F21M12_36,receptor-like kinase 7,RLK7;locus_tag=AT1G09970	2	2	rna-gnl|JCVI|mRNA.AT1G09970.1;rna-gnl|JCVI|mRNA.AT1G09970.2	AEE28522.1;AEE28523.1	2;2										NA	rna-gnl|JCVI|mRNA.AT1G09970.1;rna-gnl|JCVI|mRNA.AT1G09970.2	L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G10510	Genbank	gene	3461635	3465786	.	+	.	ID=gene-AT1G10510;Dbxref=Araport:AT1G10510,TAIR:AT1G10510;Name=emb2004;gbkey=Gene;gene=emb2004;gene_biotype=protein_coding;gene_synonym=embryo defective 2004,T10O24.12,T10O24_12;locus_tag=AT1G10510	1	2	rna-gnl|JCVI|mRNA.AT1G10510.1	AEE28587.1	2										NA	rna-gnl|JCVI|mRNA.AT1G10510.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G10780	Genbank	gene	3592680	3595220	.	-	.	ID=gene-AT1G10780;Dbxref=Araport:AT1G10780,TAIR:AT1G10780;Name=AT1G10780;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=T16B5.8;locus_tag=AT1G10780	2	2	rna-gnl|JCVI|mRNA.AT1G10780.1;rna-gnl|JCVI|mRNA.AT1G10780.2	AEE28645.1;ANM58789.1	2;2										NA	rna-gnl|JCVI|mRNA.AT1G10780.1;rna-gnl|JCVI|mRNA.AT1G10780.2	L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G10850	Genbank	gene	3611490	3614613	.	+	.	ID=gene-AT1G10850;Dbxref=Araport:AT1G10850,TAIR:AT1G10850;Name=AT1G10850;gbkey=Gene;gene_biotype=protein_coding;locus_tag=AT1G10850	1	2	rna-gnl|JCVI|mRNA.AT1G10850.1	AEE28655.1	2										NA	rna-gnl|JCVI|mRNA.AT1G10850.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G10920	Genbank	gene	3644180	3647784	.	-	.	ID=gene-AT1G10920;Dbxref=Araport:AT1G10920,TAIR:AT1G10920;Name=LOV1;Note=Encodes LOV1%2C a disease susceptibility gene that%2C paradoxically%2C is a member of the NBS-LRR resistance gene family. Conditions susceptibility to the fungus Cochliobolus victoriae and victorin-dependent induction of defense-associated proteins. Saturation mutagenesis identified 59 lov mutations that all display reduced susceptibility to vitorin. Mutations in known defense response pathways do not prevent susceptibility to C. victoriae.;gbkey=Gene;gene=LOV1;gene_biotype=protein_coding;gene_synonym=LOCUS ORCHESTRATING VICTORIN EFFECTS1,T19D16.16,T19D16_16;locus_tag=AT1G10920	5	7	rna-gnl|JCVI|mRNA.AT1G10920.1;rna-gnl|JCVI|mRNA.AT1G10920.2;rna-gnl|JCVI|mRNA.AT1G10920.4;rna-gnl|JCVI|mRNA.AT1G10920.5;rna-gnl|JCVI|mRNA.AT1G10920.3	AEE28663.1;AEE28664.1;ANM59880.1;ANM59881.1;ANM59882.1	7;7;7;7;7	rna-gnl|JCVI|mRNA.AT1G10920.1;rna-gnl|JCVI|mRNA.AT1G10920.2;rna-gnl|JCVI|mRNA.AT1G10920.4;rna-gnl|JCVI|mRNA.AT1G10920.5;rna-gnl|JCVI|mRNA.AT1G10920.3	NLR;NLR;NLR;NLR;NLR	(NBARC)(LRR);(NBARC)(LRR);(NBARC)(LRR);(NBARC)(LRR);(NBARC)(LRR)	NL;NL;NL;NL;NL	CC-NLR;CC-NLR;CC-NLR;CC-NLR or CCR-NLR or CCG10-NLR;CC-NLR or CCR-NLR or CCG10-NLR	NLR	(NBARC)(LRR)	NL	CC-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G10920.1;rna-gnl|JCVI|mRNA.AT1G10920.2;rna-gnl|JCVI|mRNA.AT1G10920.4;rna-gnl|JCVI|mRNA.AT1G10920.5;rna-gnl|JCVI|mRNA.AT1G10920.3	N;N;N;N;N	N	1	rna-gnl|JCVI|mRNA.AT1G10920.1;rna-gnl|JCVI|mRNA.AT1G10920.2;rna-gnl|JCVI|mRNA.AT1G10920.4;rna-gnl|JCVI|mRNA.AT1G10920.5;rna-gnl|JCVI|mRNA.AT1G10920.3	CP002684.1_nlr_58:3644551-3647358	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G11130	Genbank	gene	3722708	3727450	.	+	.	ID=gene-AT1G11130;Dbxref=Araport:AT1G11130,TAIR:AT1G11130;Name=SUB;Note=Encodes a receptor-like kinase protein with a predicted extracellular domain of six leucine-rich repeats and an intracellular serine-threonine kinase domain expressed throughout the developing root. Regulates expression of GLABRA2%2C CAPRICE%2C WEREWOLF%2C and ENHANCER OF GLABRA3. Required for floral organ shape%2C the development of the outer integument of ovules%2C and stem development. Regulates cell shape and cell division planes in the L2 layer of floral meristems and the L1-derived outer integument of ovules. Controls specification of epidermal root hairs. Participates in the coordination of cell morphogenesis between cell layers during floral development.;gbkey=Gene;gene=SUB;gene_biotype=protein_coding;gene_synonym=AT1G11140,SCM,SCRAMBLED,SRF9,STRUBBELIG,STRUBBELIG-RECEPTOR FAMILY 9,T19D16.8;locus_tag=AT1G11130	2	2	rna-gnl|JCVI|mRNA.AT1G11130.2;rna-gnl|JCVI|mRNA.AT1G11130.1	ANM59341.1;AEE28690.1	2;2										NA	rna-gnl|JCVI|mRNA.AT1G11130.2;rna-gnl|JCVI|mRNA.AT1G11130.1	L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G12040	Genbank	gene	4069992	4072681	.	+	.	ID=gene-AT1G12040;Dbxref=Araport:AT1G12040,TAIR:AT1G12040;Name=LRX1;Note=encodes a a chimeric leucine-rich repeat/extensin protein that regulates root hair morphogenesis and elongation. Null mutants develop root hairs that frequently abort%2C swell%2C or branch. Gene is expressed in root hair cells and protein is specifically localized in the wall of the hair proper.;gbkey=Gene;gene=LRX1;gene_biotype=protein_coding;gene_synonym=F12F1.9,F12F1_9,leucine-rich repeat/extensin 1;locus_tag=AT1G12040	1	2	rna-gnl|JCVI|mRNA.AT1G12040.1	AEE28829.1	2										NA	rna-gnl|JCVI|mRNA.AT1G12040.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G12210	Genbank	gene	4140216	4143916	.	+	.	ID=gene-AT1G12210;Dbxref=Araport:AT1G12210,TAIR:AT1G12210;Name=RFL1;Note=RFL1 has high sequence similarity to the adjacent disease resistance (R) gene RPS5.;gbkey=Gene;gene=RFL1;gene_biotype=protein_coding;gene_synonym=RPS5-like 1,T28K15.6,T28K15_6;locus_tag=AT1G12210	3	7	rna-gnl|JCVI|mRNA.AT1G12210.1;rna-gnl|JCVI|mRNA.AT1G12210.2;rna-gnl|JCVI|mRNA.AT1G12210.3	AEE28849.1;ANM58987.1;ANM58988.1	7;7;7	rna-gnl|JCVI|mRNA.AT1G12210.1;rna-gnl|JCVI|mRNA.AT1G12210.2;rna-gnl|JCVI|mRNA.AT1G12210.3	NLR;NLR;NLR	(NBARC)(LRR);(NBARC)(LRR);(NBARC)(LRR)	NL;NL;NL	CC-NLR;CC-NLR;CC-NLR	NLR	(NBARC)(LRR)	NL	CC-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G12210.1;rna-gnl|JCVI|mRNA.AT1G12210.2;rna-gnl|JCVI|mRNA.AT1G12210.3	NL;NL;NL	NL	1	rna-gnl|JCVI|mRNA.AT1G12210.1;rna-gnl|JCVI|mRNA.AT1G12210.2;rna-gnl|JCVI|mRNA.AT1G12210.3	CP002684.1_nlr_1:4141484-4143398	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G12220	Genbank	gene	4144257	4147939	.	+	.	ID=gene-AT1G12220;Dbxref=Araport:AT1G12220,TAIR:AT1G12220;Name=RPS5;Note=Resistance gene%2C mediates resistance against the bacterial pathogen Pseudomonas syringae. Contains a putative nucleotide binding site composed of kinase-1a (or P-loop)%2C kinase-2a%2C and putative kinase-3a domains%2C 13 imperfect leucine-rich repeats%2C a potential leucine zipper%2C and two uncharacterized motifs that are well conserved in products of previously isolated R genes. Confers resistance to Pseudomonas syringae strains that express avrPphB.;gbkey=Gene;gene=RPS5;gene_biotype=protein_coding;gene_synonym=DISEASE RESISTANCE PROTEIN RPS5,RESISTANT TO P. SYRINGAE 5,T28K15.5,T28K15_5;locus_tag=AT1G12220	3	7	rna-gnl|JCVI|mRNA.AT1G12220.1;rna-gnl|JCVI|mRNA.AT1G12220.2;rna-gnl|JCVI|mRNA.AT1G12220.3	AEE28851.1;AEE28852.1;ANM60906.1	7;7;7	rna-gnl|JCVI|mRNA.AT1G12220.1;rna-gnl|JCVI|mRNA.AT1G12220.2;rna-gnl|JCVI|mRNA.AT1G12220.3	NLR;NLR;NLR	(NBARC)(LRR);(NBARC)(LRR);(NBARC)(LRR)	NL;NL;NL	CC-NLR;CC-NLR;CC-NLR	NLR	(NBARC)(LRR)	NL	CC-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G12220.1;rna-gnl|JCVI|mRNA.AT1G12220.2;rna-gnl|JCVI|mRNA.AT1G12220.3	NL;NL;NL	NL	1	rna-gnl|JCVI|mRNA.AT1G12220.1;rna-gnl|JCVI|mRNA.AT1G12220.2;rna-gnl|JCVI|mRNA.AT1G12220.3	CP002684.1_nlr_2:4145046-4147536	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G12280	Genbank	gene	4174875	4178021	.	-	.	ID=gene-AT1G12280;Dbxref=Araport:AT1G12280,TAIR:AT1G12280;Name=SUMM2;Note=Encodes a NB-LRR protein SUMM2 involved in defense response to bacterium.;gbkey=Gene;gene=SUMM2;gene_biotype=protein_coding;gene_synonym=F5O11.34,F5O11_34,suppressor of mkk1 mkk2 2;locus_tag=AT1G12280	2	7	rna-gnl|JCVI|mRNA.AT1G12280.1;rna-gnl|JCVI|mRNA.AT1G12280.2	AEE28861.1;ANM60273.1	7;7	rna-gnl|JCVI|mRNA.AT1G12280.1;rna-gnl|JCVI|mRNA.AT1G12280.2	NLR;NLR	(NBARC)(LRR);(NBARC)(LRR)	NL;NL	CC-NLR;CC-NLR	NLR	(NBARC)(LRR)	NL	CC-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G12280.1;rna-gnl|JCVI|mRNA.AT1G12280.2	NL;NL	NL	1	rna-gnl|JCVI|mRNA.AT1G12280.1;rna-gnl|JCVI|mRNA.AT1G12280.2	CP002684.1_nlr_57:4172981-4177022	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G12290	Genbank	gene	4177917	4182593	.	-	.	ID=gene-AT1G12290;Dbxref=Araport:AT1G12290,TAIR:AT1G12290;Name=AT1G12290;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F5O11.3,F5O11_3;locus_tag=AT1G12290	4	7	rna-gnl|JCVI|mRNA.AT1G12290.1;rna-gnl|JCVI|mRNA.AT1G12290.2;rna-gnl|JCVI|mRNA.AT1G12290.3;rna-gnl|JCVI|mRNA.AT1G12290.4	AEE28862.1;AEE28863.1;ANM58532.1;ANM58533.1	7;7;7;7	rna-gnl|JCVI|mRNA.AT1G12290.1;rna-gnl|JCVI|mRNA.AT1G12290.2;rna-gnl|JCVI|mRNA.AT1G12290.3;rna-gnl|JCVI|mRNA.AT1G12290.4	NLR;NLR;NLR;NLR	(NBARC)(LRR);(NBARC)(LRR);(NBARC)(LRR);(NBARC)(LRR)	NL;NL;NL;NL	CC-NLR or CCR-NLR or CCG10-NLR;CC-NLR or CCR-NLR or CCG10-NLR;CC-NLR or CCR-NLR or CCG10-NLR;CC-NLR or CCR-NLR or CCG10-NLR	NLR	(NBARC)(LRR)	NL	CC-NLR or CCR-NLR or CCG10-NLR	FALSE	rna-gnl|JCVI|mRNA.AT1G12290.1;rna-gnl|JCVI|mRNA.AT1G12290.2;rna-gnl|JCVI|mRNA.AT1G12290.3;rna-gnl|JCVI|mRNA.AT1G12290.4	NL;NL;NL;NL	NL	1	rna-gnl|JCVI|mRNA.AT1G12290.1;rna-gnl|JCVI|mRNA.AT1G12290.2;rna-gnl|JCVI|mRNA.AT1G12290.3;rna-gnl|JCVI|mRNA.AT1G12290.4	CP002684.1_nlr_56:4178814-4181211	1	TRUE	TRUE	TRUE	FALSE	high	ProgCode_7
CP002684.1	gene-AT1G12460	Genbank	gene	4247218	4250758	.	+	.	ID=gene-AT1G12460;Dbxref=Araport:AT1G12460,TAIR:AT1G12460;Name=AT1G12460;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F5O11.21,F5O11_21;locus_tag=AT1G12460	2	2	rna-gnl|JCVI|mRNA.AT1G12460.1;rna-gnl|JCVI|mRNA.AT1G12460.2	AEE28886.1;ANM58719.1	2;2										NA	rna-gnl|JCVI|mRNA.AT1G12460.1;rna-gnl|JCVI|mRNA.AT1G12460.2	L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G12820	Genbank	gene	4368760	4371298	.	-	.	ID=gene-AT1G12820;Dbxref=Araport:AT1G12820,TAIR:AT1G12820;Name=AFB3;Note=Auxin receptor involved in primary and lateral root growth inhibition in response to nitrate. Target of miR393. Induced by nitrate in primary roots.;gbkey=Gene;gene=AFB3;gene_biotype=protein_coding;gene_synonym=auxin signaling F-box 3,F13K23.7,F13K23_7;locus_tag=AT1G12820	1	2	rna-gnl|JCVI|mRNA.AT1G12820.1	AEE28934.1	2										NA	rna-gnl|JCVI|mRNA.AT1G12820.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G12970	Genbank	gene	4423540	4425936	.	+	.	ID=gene-AT1G12970;Dbxref=Araport:AT1G12970,TAIR:AT1G12970;Name=PIRL3;Note=Encodes PIRL3%2C a member of the Plant Intracellular Ras-group-related LRRs (Leucine rich repeat proteins). PIRLs are a distinct%2C plant-specific class of intracellular LRRs that likely mediate protein interactions%2C possibly in the context of signal transduction.;gbkey=Gene;gene=PIRL3;gene_biotype=protein_coding;gene_synonym=F13K23.23,F13K23_23,plant intracellular ras group-related LRR 3;locus_tag=AT1G12970	1	2	rna-gnl|JCVI|mRNA.AT1G12970.1	AEE28955.1	2										NA	rna-gnl|JCVI|mRNA.AT1G12970.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G13230	Genbank	gene	4520559	4522644	.	+	.	ID=gene-AT1G13230;Dbxref=Araport:AT1G13230,TAIR:AT1G13230;Name=AT1G13230;Note=Encodes a leucine-rich repeat protein pii-2. Located in the endoplasmic reticulum/plasma membrane continuum in Arabidopsis roots. Required for growth promotion and enhanced seed production mediated by the endophytic fungus Piriformospora indica in Arabidopsis.;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F3F19.26,F3F19_26;locus_tag=AT1G13230	1	2	rna-gnl|JCVI|mRNA.AT1G13230.1	AEE28988.1	2										NA	rna-gnl|JCVI|mRNA.AT1G13230.1	L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G13570	Genbank	gene	4642124	4644422	.	-	.	ID=gene-AT1G13570;Dbxref=Araport:AT1G13570,TAIR:AT1G13570;Name=AT1G13570;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F13B4.6,F13B4_6;locus_tag=AT1G13570	3	2	rna-gnl|JCVI|mRNA.AT1G13570.1;rna-gnl|JCVI|mRNA.AT1G13570.3;rna-gnl|JCVI|mRNA.AT1G13570.2	AEE29035.1;ANM59319.1;ANM59318.1	2;2;2										NA	rna-gnl|JCVI|mRNA.AT1G13570.1;rna-gnl|JCVI|mRNA.AT1G13570.3;rna-gnl|JCVI|mRNA.AT1G13570.2	L;L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
CP002684.1	gene-AT1G13780	Genbank	gene	4724544	4726558	.	+	.	ID=gene-AT1G13780;Dbxref=Araport:AT1G13780,TAIR:AT1G13780;Name=AT1G13780;gbkey=Gene;gene_biotype=protein_coding;gene_synonym=F16A14.1,F16A14_1;locus_tag=AT1G13780	2	2	rna-gnl|JCVI|mRNA.AT1G13780.2;rna-gnl|JCVI|mRNA.AT1G13780.1	ANM58749.1;AEE29068.1	2;2										NA	rna-gnl|JCVI|mRNA.AT1G13780.2;rna-gnl|JCVI|mRNA.AT1G13780.1	L;L	L	0			0	FALSE	TRUE	FALSE	FALSE	very_low	H_LRR
